Symbol,Date,Open,High,Low,Close
UXA:COM,30/12/2024,71.35,71.35,71.35,71.35
UXA:COM,27/12/2024,70.35,70.35,70.35,70.35
UXA:COM,26/12/2024,70,70,70,70
UXA:COM,24/12/2024,71.4,71.4,71.4,71.4
UXA:COM,23/12/2024,72.25,72.25,72.25,72.25
UXA:COM,20/12/2024,73.3,73.3,73.3,73.3
UXA:COM,19/12/2024,73.85,73.85,73.85,73.85
UXA:COM,18/12/2024,74.45,74.45,74.45,74.45
UXA:COM,17/12/2024,74.8,74.8,74.8,74.8
UXA:COM,16/12/2024,75.7,75.7,75.7,75.7
UXA:COM,13/12/2024,76.6,76.6,76.6,76.6
UXA:COM,12/12/2024,76.6,76.6,76.6,76.6
UXA:COM,11/12/2024,76.65,76.65,76.65,76.65
UXA:COM,10/12/2024,76.8,76.8,76.8,76.8
UXA:COM,09/12/2024,76.9,76.9,76.9,76.9
UXA:COM,06/12/2024,77.1,77.1,77.1,77.1
UXA:COM,05/12/2024,77.8,77.8,77.8,77.8
UXA:COM,04/12/2024,77.85,77.85,77.85,77.85
UXA:COM,03/12/2024,77.8,77.8,77.8,77.8
UXA:COM,02/12/2024,77.8,77.8,77.8,77.8
UXA:COM,29/11/2024,77.5,77.5,77.5,77.5
UXA:COM,27/11/2024,77.65,77.65,77.65,77.65
UXA:COM,26/11/2024,77.8,77.8,77.8,77.8
UXA:COM,25/11/2024,77.2,77.2,77.2,77.2
UXA:COM,22/11/2024,77.8,77.8,77.8,77.8
UXA:COM,21/11/2024,78.6,78.6,78.6,78.6
UXA:COM,20/11/2024,79.7,79.7,79.7,79.7
UXA:COM,19/11/2024,80.4,80.4,80.4,80.4
UXA:COM,18/11/2024,81.75,81.75,81.75,81.75
UXA:COM,15/11/2024,81.85,81.85,81.85,81.85
UXA:COM,14/11/2024,78.9,78.9,78.9,78.9
UXA:COM,13/11/2024,78.2,78.2,78.2,78.2
UXA:COM,12/11/2024,77.5,77.5,77.5,77.5
UXA:COM,11/11/2024,76.65,76.65,76.65,76.65
UXA:COM,08/11/2024,76.55,76.55,76.55,76.55
UXA:COM,07/11/2024,76.6,76.6,76.6,76.6
UXA:COM,06/11/2024,77.2,77.2,77.2,77.2
UXA:COM,05/11/2024,77.35,77.35,77.35,77.35
UXA:COM,04/11/2024,78.2,78.2,78.2,78.2
UXA:COM,01/11/2024,78.75,78.75,78.75,78.75
UXA:COM,31/10/2024,79.75,79.75,79.75,79.75
UXA:COM,30/10/2024,80.1,80.1,80.1,80.1
UXA:COM,29/10/2024,80.3,80.3,80.3,80.3
UXA:COM,28/10/2024,80.5,80.5,80.5,80.5
UXA:COM,25/10/2024,81.05,81.05,81.05,81.05
UXA:COM,24/10/2024,82,82,82,82
UXA:COM,23/10/2024,82.6,82.6,82.6,82.6
UXA:COM,22/10/2024,82.6,82.6,82.6,82.6
UXA:COM,21/10/2024,82.6,82.6,82.6,82.6
UXA:COM,18/10/2024,83.15,83.15,83.15,83.15
UXA:COM,17/10/2024,83.3,83.3,83.3,83.3
UXA:COM,16/10/2024,83.15,83.15,83.15,83.15
UXA:COM,15/10/2024,82.95,82.95,82.95,82.95
UXA:COM,14/10/2024,82.95,82.95,82.95,82.95
UXA:COM,11/10/2024,83.2,83.2,83.2,83.2
UXA:COM,10/10/2024,83.5,83.5,83.5,83.5
UXA:COM,09/10/2024,83.55,83.55,83.55,83.55
UXA:COM,08/10/2024,83.25,83.25,83.25,83.25
UXA:COM,07/10/2024,82.85,82.85,82.85,82.85
UXA:COM,04/10/2024,82.5,82.5,82.5,82.5
UXA:COM,03/10/2024,82.2,82.2,82.2,82.2
UXA:COM,02/10/2024,82.15,82.15,82.15,82.15
UXA:COM,01/10/2024,81.9,81.9,81.9,81.9
